Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1651,19/04/2021,BP,SAVE THE CHANGE,1.06,,573.51,Savings,Nottingham,UK
1652,19/04/2021,DEB,T K MAXX,41.96,,574.57,Other Shopping,Nottingham,
1653,19/04/2021,DEB,ORIENTAL MART HYDR,7.48,,616.53,Groceries,Nottingham,UK
1654,19/04/2021,DEB,WILKO RETAIL LIMIT,4.5,,624.01,Other Shopping,Nottingham,
1655,19/04/2021,FPO,ANTIGONI ABRAHMS,5.0,,628.51,Entertainment,London,UK
1656,16/04/2021,DD,O2,16.66,,633.51,Other Shopping,Nottingham,UK
1657,16/04/2021,BP,SAVE THE CHANGE,0.91,,650.17,Savings,Nottingham,UK
1658,15/04/2021,DEB,AMAZON.CO.UK*M46EG,69.09,,651.08,Amazon,Nottingham,UK
1659,15/04/2021,BP,SAVE THE CHANGE,0.7,,720.17,Savings,Nottingham,UK
1660,14/04/2021,DEB,LIDL GB  NOTTINGHA,16.3,,720.87,Groceries,Nottingham,UK
1661,14/04/2021,FPO,MR IAN ELLIS,255.0,,737.17,Services,Nottingham,UK
1662,14/04/2021,BP,SAVE THE CHANGE,0.51,,992.17,Savings,Nottingham,UK
1663,13/04/2021,DEB,HPI INSTANT INK UK,3.49,,992.68,Other Shopping,,
1664,13/04/2021,BP,SAVE THE CHANGE,1.6,,996.17,Savings,Nottingham,UK
1665,2021-12-04 00:00:00,DEB,SOLO GRANO,3.05,,997.77,Dine Out,Nottingham,UK
1666,2021-12-04 00:00:00,DEB,TESCO STORES 5954,2.0,,1000.82,Groceries,,
1667,2021-12-04 00:00:00,DEB,CAFFE NERO 650 NOT,3.35,,1002.82,Dine Out,Nottingham,UK
1668,2021-12-04 00:00:00,BP,SAVE THE CHANGE,1.35,,1006.17,Savings,Nottingham,UK
1669,2021-12-04 00:00:00,DEB,ORIENTAL MART HYDR,13.91,,1007.52,Groceries,Nottingham,UK
1670,2021-12-04 00:00:00,DEB,TESCO STORE 2960,10.09,,1021.43,Groceries,,
1671,2021-12-04 00:00:00,DEB,WWW.DOUGHN* DOUGHN,6.8,,1031.52,Dine Out,Nottingham,UK
1672,2021-12-04 00:00:00,FPO,ANTIGONI ABRAHMS,5.0,,1038.32,Entertainment,London,UK
1673,2021-12-04 00:00:00,DEB,ECOTRICITY,500.0,,1043.32,Home Improvement,Nottingham,UK
1674,2021-12-04 00:00:00,DEB,AMZNMktplace,43.99,,1543.32,Amazon,Nottingham,UK
1675,2021-09-04 00:00:00,DEB,LIDL GB  NOTTINGHA,10.86,,1587.31,Groceries,Nottingham,UK
1676,2021-09-04 00:00:00,BP,SAVE THE CHANGE,0.01,,1598.17,Savings,Nottingham,UK
1677,2021-08-04 00:00:00,DEB,AMZNMktplace,6.0,,1598.18,Amazon,Nottingham,UK
1678,2021-08-04 00:00:00,DEB,AMZNMKTPLACE AMAZO,7.99,,1604.18,Amazon,Nottingham,UK
1679,2021-08-04 00:00:00,BP,SAVE THE CHANGE,0.2,,1612.17,Savings,Nottingham,UK
1680,2021-07-04 00:00:00,FPO,ALICJA ALEXANDER,25.0,,1612.37,Services/Home Improvement,Nottingham,UK
1681,2021-07-04 00:00:00,DEB,LIDL GB  NOTTINGHA,18.8,,1637.37,Groceries,Nottingham,UK
1682,2021-07-04 00:00:00,BP,SAVE THE CHANGE,0.08,,1656.17,Savings,Nottingham,UK
1683,2021-06-04 00:00:00,DEP,CLUB LLOYDS WAIVED,,3.0,1656.25,Amazon,Nottingham,UK
1684,2021-06-04 00:00:00,PAY,CLUB LLOYDS FEE,3.0,,1653.25,Bills,Nottingham,UK
1685,2021-06-04 00:00:00,DEB,AMZNMktplace,107.95,,1656.25,Supplementary Income,Nottingham,UK
1686,2021-06-04 00:00:00,DEB,AMZNMktplace,24.98,,1764.2,Amazon,Nottingham,UK
1687,2021-06-04 00:00:00,DEB,AMZNMktplace,19.99,,1789.18,Amazon,Nottingham,UK
1688,2021-06-04 00:00:00,FPO,TRADING212UK,500.0,,1809.17,Investment,Nottingham,UK
1689,2021-06-04 00:00:00,BP,SAVE THE CHANGE,3.44,,2309.17,Savings,Nottingham,UK
1690,2021-06-04 00:00:00,DEB,SOLO GRANO,5.7,,2312.61,Dine Out,Nottingham,UK
1691,2021-06-04 00:00:00,DEB,SOLO GRANO,3.36,,2318.31,Dine Out,Nottingham,UK
1692,2021-06-04 00:00:00,FPI,MIAH MA,,98.5,2321.67,Supplementary Income,Nottingham,UK
1693,2021-06-04 00:00:00,DEB,ORIENTAL MART HYDR,12.19,,2223.17,Groceries,Nottingham,UK
1694,2021-06-04 00:00:00,DEB,WWW.DOUGHN* DOUGHN,6.8,,2235.36,Dine Out,Nottingham,UK
1695,2021-06-04 00:00:00,DEB,WILKO RETAIL LIMIT,3.25,,2242.16,Other Shopping,,
1696,2021-06-04 00:00:00,FPO,ANTIGONI ABRAHMS,5.0,,2245.41,Entertainment,London,UK
1697,2021-06-04 00:00:00,DEB,AMZNMktplace,16.99,,2250.41,Amazon,Nottingham,UK
1698,2021-06-04 00:00:00,DEB,LIDL GB  NOTTINGHA,16.74,,2267.4,Groceries,Nottingham,UK
1699,2021-06-04 00:00:00,DEB,AMZNMktplace,8.59,,2284.14,Amazon,Nottingham,UK
1700,2021-06-04 00:00:00,DEB,AMAZON.CO.UK*MU384,6.0,,2292.73,Amazon,Nottingham,UK
1701,2021-06-04 00:00:00,FPO,MR IAN ELLIS,140.0,,2298.73,Services,Nottingham,UK
1702,2021-06-04 00:00:00,DEB,AMZNMktplace,17.99,,2438.73,Amazon,Nottingham,UK
1703,2021-01-04 00:00:00,,INTEREST (GROSS),,0.48,2456.72,Interest,Nottingham,UK
1704,2021-01-04 00:00:00,DEB,AMZNMktplace,58.96,,2456.24,Amazon,Nottingham,UK
1705,2021-01-04 00:00:00,DEB,AMZNMktplace,8.99,,2515.2,Amazon,Nottingham,UK
1706,2021-01-04 00:00:00,DD,BARCLAYS UK MTGES,981.71,,2524.19,Bills,Nottingham,UK
1707,2021-01-04 00:00:00,SO,Q WANG,,1000.0,3505.9,Supplementary Income,Nottingham,UK
1708,2021-01-04 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,2505.9,Savings,Nottingham,UK
1709,2021-01-04 00:00:00,BP,SAVE THE CHANGE,0.19,,2805.9,Savings,Nottingham,UK
1710,31/03/2021,DEB,AMZNMktplace,16.99,,2806.09,Amazon,Nottingham,UK
1711,31/03/2021,DEB,LIDL GB  NOTTINGHA,6.82,,2823.08,Groceries,Nottingham,UK
1712,31/03/2021,DEB,AMZ*hzmizimi,,16.99,2829.9,Supplementary Income,Nottingham,UK
1713,31/03/2021,BP,SAVE THE CHANGE,0.23,,2812.91,Savings,Nottingham,UK
1714,30/03/2021,DEB,SHARIF AND SONS SU,13.77,,2813.14,Groceries,Derby,UK
1715,30/03/2021,FPO,TRADING212UK,1000.0,,2826.91,Investment,Nottingham,UK
1716,30/03/2021,BP,SAVE THE CHANGE,0.95,,3826.91,Savings,Nottingham,UK
1717,30/03/2021,BGC,UNIV OF NOTTINGHAM,,3665.25,3827.86,Paycheck,Nottingham,UK
1718,29/03/2021,DEB,SOLO GRANO,8.05,,162.61,Dine Out,Nottingham,UK
1719,29/03/2021,BP,SAVE THE CHANGE,1.09,,170.66,Savings,Nottingham,UK
1720,29/03/2021,DEB,ORIENTAL MART HYDR,12.89,,171.75,Groceries,Nottingham,UK
1721,29/03/2021,DEB,WAITROSE 833,10.23,,184.64,,Nottingham,UK
1722,29/03/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,194.87,Dine Out,Nottingham,UK
1723,29/03/2021,FPO,ANTIGONI ABRAHMS,5.0,,201.67,Entertainment,London,UK
1724,29/03/2021,DEB,AMZNMktplace,16.99,,206.67,Amazon,Nottingham,UK
1725,26/03/2021,DD,TALKTALK LIMITED,19.95,,223.66,Bills,Nottingham,UK
1726,26/03/2021,BP,SAVE THE CHANGE,0.6,,243.61,Savings,Nottingham,UK
1727,25/03/2021,DEB,AMZNMktplace,16.99,,244.21,Amazon,Nottingham,UK
1728,25/03/2021,DEB,LIDL GB  NOTTINGHA,4.41,,261.2,Groceries,Nottingham,UK
1729,25/03/2021,FPO,TRADING212UK,200.0,,265.61,Investment,Nottingham,UK
1730,25/03/2021,FPI,YEWANDE MARIAN ADE,,400.0,465.61,Supplementary Income,Nottingham,UK
1731,25/03/2021,BP,SAVE THE CHANGE,0.02,,65.61,Savings,Nottingham,UK
1732,24/03/2021,DEB,IKEA LTD SHOP ONLI,320.0,,65.63,Other Shopping,,
1733,24/03/2021,DEB,AMZNMKTPLACE AMAZO,74.99,,385.63,Amazon,Nottingham,UK
1734,24/03/2021,DEB,Audible UK,7.99,,460.62,Entertainment,Nottingham,UK
1735,24/03/2021,TFR,R LAWRENCE,,50.0,468.61,Supplementary Income,Nottingham,UK
1736,23/03/2021,DEB,LIDL GB  NOTTINGHA,11.1,,418.61,Groceries,Nottingham,UK
1737,23/03/2021,FPO,ALICJA ALEXANDER,25.0,,429.71,Services/Home Improvement,Nottingham,UK
1738,23/03/2021,BP,SAVE THE CHANGE,0.71,,454.71,Savings,Nottingham,UK
1739,22/03/2021,DEB,ORIENTAL MART HYDR,22.49,,455.42,Groceries,Nottingham,UK
1740,22/03/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,477.91,Dine Out,Nottingham,UK
1741,22/03/2021,DEB,UBER   *TRIP,2.0,,484.71,Travel,Nottingham,UK
1742,22/03/2021,BP,SAVE THE CHANGE,1.07,,486.71,Savings,Nottingham,UK
1743,22/03/2021,DEB,UBER *TRIP HELP.UB,13.66,,487.78,Travel,Nottingham,UK
1744,22/03/2021,FPO,ANTIGONI ABRAHMS,5.0,,501.44,Entertainment,London,UK
1745,22/03/2021,DEB,Audible UK,18.0,,506.44,Entertainment,Nottingham,UK
1746,22/03/2021,DEB,LIDL GB  NOTTINGHA,17.28,,524.44,Groceries,Nottingham,UK
1747,19/03/2021,FPO,TRADING212UK,100.0,,541.72,Investment,Nottingham,UK
1748,19/03/2021,DEB,AMZNMktplace,6.99,,641.72,Amazon,Nottingham,UK
