Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
5401,2016-01-12 00:00:00,DD,CC SWANSEA C.TAX,233.0,,15998.1,Bills,Swansea,UK
5402,2016-01-12 00:00:00,DD,GOOD ENERGY GAS,43.0,,16231.1,Bills,Swansea,UK
5403,2016-01-12 00:00:00,DD,GOOD ENERGY LTD,42.0,,16274.1,Bills,Swansea,UK
5404,2016-01-12 00:00:00,DD,DWR CYMRU W WATER,32.5,,16316.1,Bills,Swansea,UK
5405,2016-01-12 00:00:00,DD,TV LICENCE MBP,12.18,,16348.6,Bills,Swansea,UK
5406,2016-01-12 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,16360.78,Savings,Swansea,UK
5407,2016-01-12 00:00:00,BP,SAVE THE CHANGE,0.6,,16660.78,Savings,Swansea,UK
5408,30/11/2016,DEB,ARRIVA TRAINS WALE,56.4,,16661.38,Travel,,
5409,30/11/2016,DD,UCU B ACCOUNT,22.7,,16717.78,Others,Swansea,UK
5410,30/11/2016,BP,SAVE THE CHANGE,0.6,,16740.48,Savings,Swansea,UK
5411,30/11/2016,BGC,SWANSEA UNI - PAY,,3112.59,16741.08,Paycheck,Swansea,UK
5412,29/11/2016,CPT,LNK ARRIVA TRAINS,80.0,,13628.49,Cash,,
5413,29/11/2016,DEB,ARRIVA TRAINS WALE,56.4,,13708.49,Travel,,
5414,29/11/2016,BP,SAVE THE CHANGE,0.1,,13764.89,Savings,Swansea,UK
5415,28/11/2016,DEB,Amazon UK Marketpl,12.9,,13764.99,Amazon,Swansea,UK
5416,28/11/2016,CPT,LNK ARRIVA TRAINS,80.0,,13777.89,Cash,,
5417,28/11/2016,BP,SAVE THE CHANGE,0.35,,13857.89,Savings,Swansea,UK
5418,28/11/2016,FPI,MARIANA MILLS,,25.0,13858.24,Supplementary Income,Swansea,UK
5419,25/11/2016,DEB,JS ONLINE GROCERY,322.65,,13833.24,Groceries,Swansea,UK
5420,25/11/2016,CPT,LNK UNI - UNIVERSI,50.0,,14155.89,Cash,Swansea,UK
5421,24/11/2016,BP,SAVE THE CHANGE,0.02,,14205.89,Savings,Swansea,UK
5422,23/11/2016,DEB,Amazon UK Marketpl,39.99,,14205.91,Amazon,Swansea,UK
5423,23/11/2016,DEB,AMAZON UK RETAIL A,10.99,,14245.9,Amazon,Swansea,UK
5424,23/11/2016,CPT,LNK UNI - UNIVERSI,50.0,,14256.89,Cash,Swansea,UK
5425,23/11/2016,BP,SAVE THE CHANGE,1.58,,14306.89,Savings,Swansea,UK
5426,22/11/2016,DEB,Amazon UK Marketpl,408.45,,14308.47,Amazon,Swansea,UK
5427,22/11/2016,DEB,Amazon UK Marketpl,9.49,,14716.92,Amazon,Swansea,UK
5428,22/11/2016,DEB,SUSU TRADING LTD,54.48,,14726.41,Home Improvement,Swansea,UK
5429,22/11/2016,DD,CORGI HOMEPLAN CA,19.5,,14780.89,Home Improvement,Swansea,UK
5430,22/11/2016,BP,SAVE THE CHANGE,0.86,,14800.39,Savings,Swansea,UK
5431,21/11/2016,DEB,Amazon UK Marketpl,42.98,,14801.25,Amazon,Swansea,UK
5432,21/11/2016,DEB,Amazon UK Marketpl,23.99,,14844.23,Amazon,Swansea,UK
5433,21/11/2016,DEB,Amazon UK Marketpl,8.17,,14868.22,Amazon,Swansea,UK
5434,21/11/2016,CPT,LNK UNI - UNIVERSI,50.0,,14876.39,Cash,Swansea,UK
5435,21/11/2016,DD,VIRGIN MEDIA PYMTS,31.48,,14926.39,Bills,Nottingham,UK
5436,21/11/2016,BP,SAVE THE CHANGE,0.05,,14957.87,Savings,Swansea,UK
5437,18/11/2016,DEB,Amazon UK Marketpl,10.95,,14957.92,Amazon,Swansea,UK
5438,16/11/2016,DD,O2,37.28,,14968.87,Other Shopping,Swansea,UK
5439,16/11/2016,BP,SAVE THE CHANGE,1.52,,15006.15,Savings,Swansea,UK
5440,15/11/2016,DEB,Amazon UK Marketpl,12.49,,15007.67,Amazon,Swansea,UK
5441,15/11/2016,DEB,Amazon Svcs Europe,8.5,,15020.16,Amazon,Swansea,UK
5442,15/11/2016,DEB,Amazon UK Marketpl,8.49,,15028.66,Amazon,Swansea,UK
5443,15/11/2016,CPT,LNK UNI - UNIVERSI,50.0,,15037.15,Cash,Swansea,UK
5444,15/11/2016,BP,SAVE THE CHANGE,0.01,,15087.15,Savings,Swansea,UK
5445,14/11/2016,DEB,WWW.ALLBAMBOOLTD.C,102.0,,15087.16,Home Improvement,Swansea,UK
5446,14/11/2016,DEB,Amazon UK Retail,5.99,,15189.16,Amazon,Swansea,UK
5447,14/11/2016,FPI,MARIANA MILLS 13NOV16,,130.0,15195.15,Supplementary Income,Swansea,UK
5448,2016-11-11 00:00:00,CPT,LOYD TALIESIN BUIL,50.0,,15065.15,Cash,,
5449,2016-11-11 00:00:00,CHQ,47,320.0,,15115.15,Cash,,
5450,2016-09-11 00:00:00,DD,LV LIFE,37.12,,15435.15,Insurance,Swansea,UK
5451,2016-09-11 00:00:00,BP,SAVE THE CHANGE,1.04,,15472.27,Savings,Swansea,UK
5452,2016-08-11 00:00:00,DEB,Amazon UK Retail,11.45,,15473.31,Amazon,Swansea,UK
5453,2016-08-11 00:00:00,DEB,AMAZON MKTPLACE PM,6.51,,15484.76,Amazon,Swansea,UK
5454,2016-08-11 00:00:00,CPT,LNK FULTON HOUSE,50.0,,15491.27,Cash,Swansea,UK
5455,2016-08-11 00:00:00,BP,SAVE THE CHANGE,0.96,,15541.27,Savings,Swansea,UK
5456,2016-07-11 00:00:00,DEB,Amazon Svcs Europe,14.04,,15542.23,Amazon,Swansea,UK
5457,2016-07-11 00:00:00,BP,SAVE THE CHANGE,0.8,,15556.27,Savings,Swansea,UK
5458,2016-04-11 00:00:00,DEB,SWANSEA UNI - CATE,4.2,,15557.07,Dine Out,Swansea,UK
5459,2016-04-11 00:00:00,CPT,LOYD WALES UNIV SW,20.0,,15561.27,Cash,Swansea,UK
5460,2016-03-11 00:00:00,CPT,LOYD WALES UNIV SW,50.0,,15581.27,Cash,Swansea,UK
5461,2016-03-11 00:00:00,DD,ASSURANT INTER LTD,39.74,,15631.27,Insurance,Swansea,UK
5462,2016-03-11 00:00:00,BP,SAVE THE CHANGE,0.44,,15671.01,Savings,Swansea,UK
5463,2016-02-11 00:00:00,DEB,Amazon UK Marketpl,27.56,,15671.45,Amazon,Swansea,UK
5464,2016-02-11 00:00:00,BP,SAVE THE CHANGE,0.78,,15699.01,Savings,Swansea,UK
5465,2016-01-11 00:00:00,FEE,ACCOUNT FEE,9.95,,15699.79,Bills,Swansea,UK
5466,2016-01-11 00:00:00,FPI,MARIANA MILLS,,250.0,15709.74,Supplementary Income,Swansea,UK
5467,2016-01-11 00:00:00,DD,NATWEST BANK,828.49,,15459.74,Mortgage,Swansea,UK
5468,2016-01-11 00:00:00,DD,CC SWANSEA C.TAX,233.0,,16288.23,Bills,Swansea,UK
5469,2016-01-11 00:00:00,DD,GOOD ENERGY GAS,43.0,,16521.23,Bills,Swansea,UK
5470,2016-01-11 00:00:00,DD,GOOD ENERGY LTD,42.0,,16564.23,Bills,Swansea,UK
5471,2016-01-11 00:00:00,DD,DWR CYMRU W WATER,32.5,,16606.23,Bills,Swansea,UK
5472,2016-01-11 00:00:00,DD,TV LICENCE MBP,12.12,,16638.73,Bills,Swansea,UK
5473,2016-01-11 00:00:00,DEB,NON-STG PURCH FEE,1.0,,16650.85,Others,Swansea,UK
5474,2016-01-11 00:00:00,DEB,NON-STG TRANS FEE,24.49,,16651.85,Others,Swansea,UK
5475,2016-01-11 00:00:00,DEB,EMBASSY SUITES BAL,819.22,,16676.34,Travel,Baltimore,USA
5476,2016-01-11 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,17495.56,Savings,Swansea,UK
5477,31/10/2016,CPT,LOYD WALES UNIV SW,50.0,,17795.56,Cash,Swansea,UK
5478,31/10/2016,DD,UCU B ACCOUNT,22.7,,17845.56,Others,Swansea,UK
5479,31/10/2016,BGC,SWANSEA UNI - PAY,,3166.96,17868.26,Paycheck,Swansea,UK
5480,28/10/2016,BP,SAVE THE CHANGE,0.06,,14701.3,Savings,Swansea,UK
5481,28/10/2016,BGC,SWANSEA UNIVERSITY,,438.85,14701.36,Supplementary Income,Swansea,UK
5482,27/10/2016,DEB,NON-STG PURCH FEE,1.0,,14262.51,Others,Swansea,UK
5483,27/10/2016,DEB,NON-STG TRANS FEE,2.45,,14263.51,Others,Swansea,UK
5484,27/10/2016,DEB,SUPREME AIRPORT SH,81.94,,14265.96,Travel,,
5485,25/10/2016,BP,SAVE THE CHANGE,0.43,,14347.9,Savings,Swansea,UK
5486,24/10/2016,DEB,Amazon UK Marketpl,13.57,,14348.33,Amazon,Swansea,UK
5487,24/10/2016,DD,CORGI HOMEPLAN CA,19.5,,14361.9,Home Improvement,Swansea,UK
5488,24/10/2016,BP,SAVE THE CHANGE,0.04,,14381.4,Savings,Swansea,UK
5489,24/10/2016,BGC,SWANSEA UNIVERSITY,,335.33,14381.44,Supplementary Income,Swansea,UK
5490,21/10/2016,DEB,EASYJET   ERB813,645.96,,14046.11,Travel,,
5491,21/10/2016,CPT,LOYD WALES UNIV SW,70.0,,14692.07,Cash,Swansea,UK
5492,21/10/2016,DD,VIRGIN MEDIA PYMTS,27.99,,14762.07,Bills,Nottingham,UK
5493,21/10/2016,BP,SAVE THE CHANGE,0.02,,14790.06,Savings,Swansea,UK
5494,20/10/2016,FPI,MARIANA MILLS,,340.0,14790.08,Supplementary Income,Swansea,UK
5495,20/10/2016,DEB,Amazon UK Marketpl,10.98,,14450.08,Amazon,Swansea,UK
5496,20/10/2016,CPT,LOYD WALES UNIV SW,80.0,,14461.06,Cash,Swansea,UK
5497,20/10/2016,BP,SAVE THE CHANGE,0.94,,14541.06,Savings,Swansea,UK
5498,19/10/2016,DEB,SUSU TRADING LTD,52.84,,14542.0,Home Improvement,Swansea,UK
5499,19/10/2016,DEB,Amazon *Mktplce EU,11.22,,14594.84,Cash,Swansea,UK
5500,18/10/2016,BP,SAVE THE CHANGE,0.97,,14606.06,Savings,Swansea,UK
5501,17/10/2016,DEB,Amazon UK Retail,30.43,,14607.03,Amazon,Swansea,UK
5502,17/10/2016,DEB,Audible.co.uk,14.6,,14637.46,Entertainment,,
5503,17/10/2016,DEB,EC GIFTWARE LTD,,6.65,14652.06,Supplementary Income,Swansea,UK
5504,17/10/2016,DD,O2,33.12,,14645.41,Other Shopping,Swansea,UK
5505,17/10/2016,BP,SAVE THE CHANGE,1.99,,14678.53,Savings,Swansea,UK
5506,14/10/2016,DEB,Amazon UK Marketpl,14.01,,14680.52,Amazon,Swansea,UK
5507,14/10/2016,DEB,Amazon UK Marketpl,11.49,,14694.53,Amazon,Swansea,UK
5508,14/10/2016,DEB,EC GIFTWARE LTD,72.51,,14706.02,Other Shopping,,
5509,14/10/2016,CPT,LOYD WALES UNIV SW,40.0,,14778.53,Cash,Swansea,UK
5510,2016-11-10 00:00:00,BP,SAVE THE CHANGE,1.07,,14818.53,Savings,Swansea,UK
5511,2016-10-10 00:00:00,DEB,Amazon UK Marketpl,22.99,,14819.6,Amazon,Swansea,UK
5512,2016-10-10 00:00:00,DEB,Amazon UK Marketpl,29.44,,14842.59,Amazon,Swansea,UK
5513,2016-10-10 00:00:00,DEB,Amazon UK Marketpl,8.5,,14872.03,Amazon,Swansea,UK
5514,2016-10-10 00:00:00,CPT,LOYD WALES UNIV SW,30.0,,14880.53,Cash,Swansea,UK
5515,2016-10-10 00:00:00,DD,LV LIFE,37.12,,14910.53,Insurance,Swansea,UK
5516,2016-10-10 00:00:00,BP,SAVE THE CHANGE,1.05,,14947.65,Savings,Swansea,UK
5517,2016-07-10 00:00:00,DEB,AMAZON UK RETAIL A,10.19,,14948.7,Amazon,Swansea,UK
5518,2016-07-10 00:00:00,DEB,Amazon Svcs Europe,8.76,,14958.89,Amazon,Swansea,UK
5519,2016-07-10 00:00:00,CPT,LOYD WALES UNIV SW,20.0,,14967.65,Cash,Swansea,UK
5520,2016-07-10 00:00:00,CHQ,46,40.0,,14987.65,Cash,,
5521,2016-06-10 00:00:00,FPI,MARIANA MILLS,,250.0,15027.65,Supplementary Income,Swansea,UK
5522,2016-06-10 00:00:00,CPT,LOYD WALES UNIV SW,40.0,,14777.65,Cash,Swansea,UK
5523,2016-05-10 00:00:00,BP,SAVE THE CHANGE,0.83,,14817.65,Savings,Swansea,UK
5524,2016-04-10 00:00:00,DEB,Amazon UK Marketpl,9.98,,14818.48,Amazon,Swansea,UK
5525,2016-04-10 00:00:00,DEB,Amazon UK Marketpl,9.94,,14828.46,Amazon,Swansea,UK
5526,2016-04-10 00:00:00,DEB,Amazon UK Marketpl,4.25,,14838.4,Amazon,Swansea,UK
5527,2016-04-10 00:00:00,BP,SAVE THE CHANGE,0.47,,14842.65,Savings,Swansea,UK
5528,2016-03-10 00:00:00,FEE,ACCOUNT FEE,9.95,,14843.12,Bills,Swansea,UK
5529,2016-03-10 00:00:00,DEB,Amazon UK Marketpl,38.53,,14853.07,Amazon,Swansea,UK
5530,2016-03-10 00:00:00,DEB,Amazon UK Marketpl,165.0,,14891.6,Amazon,Swansea,UK
5531,2016-03-10 00:00:00,DD,NATWEST BANK,828.49,,15056.6,Mortgage,Swansea,UK
5532,2016-03-10 00:00:00,DD,CC SWANSEA C.TAX,231.81,,15885.09,Bills,Swansea,UK
5533,2016-03-10 00:00:00,DD,GOOD ENERGY GAS,43.0,,16116.9,Bills,Swansea,UK
5534,2016-03-10 00:00:00,DD,GOOD ENERGY LTD,42.0,,16159.9,Bills,Swansea,UK
5535,2016-03-10 00:00:00,DD,ASSURANT INTER LTD,39.74,,16201.9,Insurance,Swansea,UK
5536,2016-03-10 00:00:00,DD,DWR CYMRU W WATER,29.5,,16241.64,Bills,Swansea,UK
5537,2016-03-10 00:00:00,DD,TV LICENCE MBP,12.12,,16271.14,Bills,Swansea,UK
5538,2016-03-10 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,16283.26,Savings,Swansea,UK
5539,2016-03-10 00:00:00,BP,SAVE THE CHANGE,0.85,,16583.26,Savings,Swansea,UK
5540,30/09/2016,DEB,JS ONLINE GROCERY,194.15,,16584.11,Groceries,Swansea,UK
5541,30/09/2016,DEB,JS ONLINE GROCERY,,3.0,16778.26,Supplementary Income,Swansea,UK
5542,30/09/2016,CPT,LOYD WALES UNIV SW,30.0,,16775.26,Cash,Swansea,UK
5543,30/09/2016,DD,UCU B ACCOUNT,22.7,,16805.26,Others,Swansea,UK
5544,30/09/2016,BGC,SWANSEA UNI - PAY,,3085.63,16827.96,Paycheck,Swansea,UK
5545,29/09/2016,BP,SAVE THE CHANGE,1.69,,13742.33,Savings,Swansea,UK
5546,28/09/2016,DEB,Amazon UK Marketpl,22.99,,13744.02,Amazon,Swansea,UK
5547,28/09/2016,DEB,PIZZA EXPRESS,20.3,,13767.01,Dine Out,,
5548,28/09/2016,DEB,Amazon Svcs Europe,7.02,,13787.31,Amazon,Swansea,UK
5549,28/09/2016,CPT,LOYD WALES UNIV SW,50.0,,13794.33,Cash,Swansea,UK
5550,28/09/2016,BP,SAVE THE CHANGE,1.39,,13844.33,Savings,Swansea,UK
5551,27/09/2016,DEB,HILTON,265.0,,13845.72,Hotels,,
5552,27/09/2016,DEB,ARRIVA TRAINS WALE,116.8,,14110.72,Travel,,
5553,27/09/2016,DEB,ARRIVA TRAINS WALE,113.8,,14227.52,Travel,,
5554,27/09/2016,DEB,Amazon UK Marketpl,13.54,,14341.32,Amazon,Swansea,UK
5555,27/09/2016,DEB,SKR*ETHICAL PETS,28.47,,14354.86,Other Shopping,,
5556,27/09/2016,DEB,ARRIVA TRAINS WALE,,113.8,14383.33,Supplementary Income,Swansea,UK
5557,27/09/2016,BP,SAVE THE CHANGE,1.14,,14269.53,Savings,Swansea,UK
5558,26/09/2016,DEB,Amazon UK Retail,10.74,,14270.67,Amazon,Swansea,UK
5559,26/09/2016,DEB,Amazon UK Marketpl,1.83,,14281.41,Amazon,Swansea,UK
5560,26/09/2016,DEB,Amazon UK Marketpl,12.29,,14283.24,Amazon,Swansea,UK
5561,26/09/2016,CPT,LNK ARRIVA TRAINS,50.0,,14295.53,Cash,,
5562,23/09/2016,BP,SAVE THE CHANGE,0.53,,14345.53,Savings,Swansea,UK
5563,22/09/2016,DEB,AMAZON UK RETAIL A,159.98,,14346.06,Amazon,Swansea,UK
5564,22/09/2016,DEB,AMAZON UK RETAIL A,19.49,,14506.04,Amazon,Swansea,UK
5565,22/09/2016,DD,CORGI HOMEPLAN CA,19.5,,14525.53,Home Improvement,Swansea,UK
5566,22/09/2016,BP,SAVE THE CHANGE,0.04,,14545.03,Savings,Swansea,UK
5567,21/09/2016,DEB,AMAZON UK RETAIL A,129.96,,14545.07,Amazon,Swansea,UK
5568,21/09/2016,DD,VIRGIN MEDIA PYMTS,27.99,,14675.03,Bills,Nottingham,UK
5569,21/09/2016,BP,SAVE THE CHANGE,0.05,,14703.02,Savings,Swansea,UK
5570,20/09/2016,DEB,Amazon UK Marketpl,16.99,,14703.07,Amazon,Swansea,UK
5571,20/09/2016,DEB,Amazon UK Marketpl,14.96,,14720.06,Amazon,Swansea,UK
5572,16/09/2016,DD,O2,24.21,,14735.02,Other Shopping,Swansea,UK
5573,14/09/2016,BP,SAVE THE CHANGE,0.05,,14759.23,Savings,Swansea,UK
5574,13/09/2016,DEB,Amazon UK Marketpl,36.95,,14759.28,Amazon,Swansea,UK
5575,13/09/2016,BP,SAVE THE CHANGE,0.28,,14796.23,Savings,Swansea,UK
5576,2016-12-09 00:00:00,DEB,Amazon UK Marketpl,9.72,,14796.51,Amazon,Swansea,UK
5577,2016-12-09 00:00:00,BP,SAVE THE CHANGE,0.42,,14806.23,Savings,Swansea,UK
5578,2016-12-09 00:00:00,FPI,MARIANA MILLS,,150.0,14806.65,Supplementary Income,Swansea,UK
5579,2016-09-09 00:00:00,DEB,Amazon UK Marketpl,37.99,,14656.65,Amazon,Swansea,UK
5580,2016-09-09 00:00:00,DEB,Amazon UK Marketpl,9.89,,14694.64,Amazon,Swansea,UK
5581,2016-09-09 00:00:00,DEB,AMAZON UK RETAIL A,21.7,,14704.53,Amazon,Swansea,UK
5582,2016-09-09 00:00:00,CPT,LOYD WALES UNIV SW,50.0,,14726.23,Cash,Swansea,UK
5583,2016-09-09 00:00:00,DD,LV LIFE,37.12,,14776.23,Insurance,Swansea,UK
5584,2016-09-09 00:00:00,BP,SAVE THE CHANGE,0.61,,14813.35,Savings,Swansea,UK
5585,2016-08-09 00:00:00,DEB,Amazon UK Marketpl,14.95,,14813.96,Amazon,Swansea,UK
5586,2016-08-09 00:00:00,DEB,Amazon UK Marketpl,9.9,,14828.91,Amazon,Swansea,UK
5587,2016-08-09 00:00:00,DEB,Amazon UK Marketpl,5.54,,14838.81,Amazon,Swansea,UK
5588,2016-06-09 00:00:00,BP,SAVE THE CHANGE,0.75,,14844.35,Savings,Swansea,UK
5589,2016-05-09 00:00:00,DEB,NON-STG PURCH FEE,1.0,,14845.1,Others,Swansea,UK
5590,2016-05-09 00:00:00,DEB,NON-STG TRANS FEE,1.77,,14846.1,Others,Swansea,UK
5591,2016-05-09 00:00:00,DEB,TERRA RESTAURANTE,59.25,,14847.87,Dine Out,Porto,Portugal
5592,2016-05-09 00:00:00,DD,ASSURANT INTER LTD,39.85,,14907.12,Insurance,Swansea,UK
5593,2016-05-09 00:00:00,BP,SAVE THE CHANGE,0.4,,14946.97,Savings,Swansea,UK
5594,2016-02-09 00:00:00,DEB,ARRIVA TRAINS WALE,72.6,,14947.37,Travel,,
5595,2016-01-09 00:00:00,FEE,ACCOUNT FEE,9.95,,15019.97,Bills,Swansea,UK
5596,2016-01-09 00:00:00,DD,NATWEST BANK,828.49,,15029.92,Mortgage,Swansea,UK
5597,2016-01-09 00:00:00,DD,CC SWANSEA C.TAX,127.0,,15858.41,Bills,Swansea,UK
5598,2016-01-09 00:00:00,DD,GOOD ENERGY GAS,43.0,,15985.41,Bills,Swansea,UK
5599,2016-01-09 00:00:00,DD,GOOD ENERGY LTD,42.0,,16028.41,Bills,Swansea,UK
5600,2016-01-09 00:00:00,DD,DWR CYMRU W WATER,29.5,,16070.41,Bills,Swansea,UK
5601,2016-01-09 00:00:00,DD,TV LICENCE MBP,12.12,,16099.91,Bills,Swansea,UK
5602,2016-01-09 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,16112.03,Savings,Swansea,UK
5603,2016-01-09 00:00:00,BP,SAVE THE CHANGE,0.67,,16412.03,Savings,Swansea,UK
5604,31/08/2016,DEB,Amazon UK Marketpl,19.33,,16412.7,Amazon,Swansea,UK
5605,31/08/2016,BP,SAVE THE CHANGE,0.47,,16432.03,Savings,Swansea,UK
5606,31/08/2016,BGC,SWANSEA UNI - PAY,,3085.63,16432.5,Paycheck,Swansea,UK
5607,30/08/2016,DEB,Amazon UK Marketpl,19.99,,13346.87,Amazon,Swansea,UK
5608,30/08/2016,DEB,Amazon UK Marketpl,13.96,,13366.86,Amazon,Swansea,UK
5609,30/08/2016,DEB,Amazon UK Marketpl,13.58,,13380.82,Amazon,Swansea,UK
5610,30/08/2016,CPT,LOYD WALES UNIV SW,30.0,,13394.4,Cash,Swansea,UK
5611,30/08/2016,BP,SAVE THE CHANGE,0.22,,13424.4,Savings,Swansea,UK
5612,30/08/2016,CPT,LNK UNION STREET,30.0,,13424.62,Cash,,
5613,26/08/2016,DEB,Amazon UK Marketpl,6.78,,13454.62,Amazon,Swansea,UK
5614,26/08/2016,CPT,LOYD WALES UNIV SW,30.0,,13461.4,Cash,Swansea,UK
5615,26/08/2016,DD,UCU B ACCOUNT,22.37,,13491.4,Others,Swansea,UK
5616,26/08/2016,BP,SAVE THE CHANGE,1.21,,13513.77,Savings,Swansea,UK
5617,25/08/2016,DEB,Amazon UK Marketpl,5.16,,13514.98,Amazon,Swansea,UK
5618,25/08/2016,DEB,AMAZON UK RETAIL A,3.63,,13520.14,Amazon,Swansea,UK
5619,25/08/2016,FPO,FB EDMUNDS,31.25,,13523.77,,,
5620,25/08/2016,BP,SAVE THE CHANGE,1.03,,13555.02,Savings,Swansea,UK
5621,24/08/2016,DEB,Amazon UK Marketpl,89.99,,13556.05,Amazon,Swansea,UK
5622,24/08/2016,DEB,Amazon UK Marketpl,21.25,,13646.04,Amazon,Swansea,UK
5623,24/08/2016,DEB,AMAZON UK RETAIL A,13.73,,13667.29,Amazon,Swansea,UK
5624,24/08/2016,DEB,Amazon UK Marketpl,,17.99,13681.02,Supplementary Income,Swansea,UK
5625,24/08/2016,CPT,LOYD WALES UNIV SW,50.0,,13663.03,Cash,Swansea,UK
5626,24/08/2016,BP,SAVE THE CHANGE,0.29,,13713.03,Savings,Swansea,UK
5627,23/08/2016,DEB,Amazon UK Marketpl,9.72,,13713.32,Amazon,Swansea,UK
5628,23/08/2016,DEB,Amazon UK Marketpl,8.99,,13723.04,Amazon,Swansea,UK
5629,23/08/2016,BP,SAVE THE CHANGE,1.43,,13732.03,Savings,Swansea,UK
5630,22/08/2016,DEB,Amazon UK Marketpl,11.38,,13733.46,Amazon,Swansea,UK
5631,22/08/2016,DEB,Amazon UK Retail,58.2,,13744.84,Amazon,Swansea,UK
5632,22/08/2016,DEB,Amazon UK Marketpl,49.99,,13803.04,Amazon,Swansea,UK
5633,22/08/2016,DD,VIRGIN MEDIA PYMTS,27.99,,13853.03,Bills,Nottingham,UK
5634,22/08/2016,DD,CORGI HOMEPLAN CA,19.5,,13881.02,Home Improvement,Swansea,UK
5635,19/08/2016,FPI,MARIANA MILLS,,175.0,13900.52,Supplementary Income,Swansea,UK
5636,17/08/2016,DEB,CROWNE PLAZA,135.0,,13725.52,Hotels,,
5637,17/08/2016,BP,SAVE THE CHANGE,0.2,,13860.52,Savings,Swansea,UK
5638,16/08/2016,DEB,CROWNE PLAZA,25.8,,13860.72,Hotels,,
5639,16/08/2016,DD,O2,17.32,,13886.52,Other Shopping,Swansea,UK
5640,16/08/2016,BP,SAVE THE CHANGE,1.0,,13903.84,Savings,Swansea,UK
5641,15/08/2016,DEB,JS ONLINE GROCERY,368.5,,13904.84,Groceries,Swansea,UK
5642,15/08/2016,DEB,Amazon UK Marketpl,17.99,,14273.34,Amazon,Swansea,UK
5643,15/08/2016,DEB,GWR WEBSALES ECOM,137.0,,14291.33,Travel,,
5644,15/08/2016,DEB,AMAZON UK RETAIL A,99.51,,14428.33,Amazon,Swansea,UK
5645,15/08/2016,CPT,LNK ARRIVA TRAINS,50.0,,14527.84,Cash,,
5646,15/08/2016,BP,SAVE THE CHANGE,0.1,,14577.84,Savings,Swansea,UK
5647,2016-12-08 00:00:00,DEB,Amazon UK Marketpl,16.9,,14577.94,Amazon,Swansea,UK
5648,2016-12-08 00:00:00,CPT,LOYD WALES UNIV SW,50.0,,14594.84,Amazon,Swansea,UK
5649,2016-09-08 00:00:00,BP,SAVE THE CHANGE,0.19,,14644.84,Savings,Swansea,UK
5650,2016-08-08 00:00:00,DEB,Amazon UK Marketpl,2.81,,14645.03,Amazon,Swansea,UK
5651,2016-08-08 00:00:00,DD,LV LIFE,37.12,,14647.84,Insurance,Swansea,UK
5652,2016-05-08 00:00:00,BP,SAVE THE CHANGE,1.03,,14684.96,Savings,Swansea,UK
5653,2016-04-08 00:00:00,DEB,Amazon UK Marketpl,13.89,,14685.99,Amazon,Swansea,UK
5654,2016-04-08 00:00:00,DEB,NON-STG PURCH FEE,1.0,,14699.88,Others,Swansea,UK
5655,2016-04-08 00:00:00,DEB,NON-STG TRANS FEE,0.18,,14700.88,Others,Swansea,UK
5656,2016-04-08 00:00:00,DEB,KLM NETHERLA074821,6.08,,14701.06,Travel,,
5657,2016-03-08 00:00:00,DD,ASSURANT INTER LTD,35.56,,14707.14,Insurance,Swansea,UK
5658,2016-02-08 00:00:00,BP,SAVE THE CHANGE,0.52,,14742.7,Savings,Swansea,UK
5659,2016-02-08 00:00:00,BGC,SWANSEA UNIVERSITY,,1652.84,14743.22,Supplementary Income,Swansea,UK
5660,2016-01-08 00:00:00,FEE,ACCOUNT FEE,9.95,,13090.38,Bills,Swansea,UK
5661,2016-01-08 00:00:00,DEB,Amazon UK Marketpl,9.48,,13100.33,Amazon,Swansea,UK
5662,2016-01-08 00:00:00,CPT,LOYD WALES UNIV SW,100.0,,13109.81,Cash,Swansea,UK
5663,2016-01-08 00:00:00,DD,NATWEST BANK,828.49,,13209.81,Mortgage,Swansea,UK
5664,2016-01-08 00:00:00,DD,CC SWANSEA C.TAX,127.0,,14038.3,Bills,Swansea,UK
5665,2016-01-08 00:00:00,DD,GOOD ENERGY GAS,43.0,,14165.3,Bills,Swansea,UK
5666,2016-01-08 00:00:00,DD,DWR CYMRU W WATER,29.5,,14208.3,Bills,Swansea,UK
5667,2016-01-08 00:00:00,DD,GOOD ENERGY LTD,13.0,,14237.8,Bills,Swansea,UK
5668,2016-01-08 00:00:00,DD,TV LICENCE MBP,12.12,,14250.8,Bills,Swansea,UK
5669,2016-01-08 00:00:00,SO,ESAVINGS ACCOUNT,300.0,,14262.92,Savings,Swansea,UK
5670,2016-01-08 00:00:00,BP,SAVE THE CHANGE,0.52,,14562.92,Savings,Swansea,UK
5671,29/07/2016,DEB,Amazon UK Marketpl,16.48,,14563.44,Amazon,Swansea,UK
5672,29/07/2016,CPT,LOYD WALES UNIV SW,50.0,,14579.92,Cash,Swansea,UK
5673,29/07/2016,DD,UCU B ACCOUNT,22.37,,14629.92,Others,Swansea,UK
5674,29/07/2016,BP,SAVE THE CHANGE,0.6,,14652.29,Savings,Swansea,UK
